ID,Opportunity_Name,Funder,Funder_Type,Program_Name,Min_Amount_USD,Max_Amount_USD,Typical_Amount_USD,Deadline_Type,Deadline_Date,LOI_Deadline,LOI_Required,Response_Time_Weeks,Grant_Duration_Months,Renewable,Geographic_Focus,Population_Focus,Eligibility_Notes,Application_URL,Information_URL,Application_Format,Portal_Name,Required_Documents,Contact_Name,Contact_Email,Contact_Phone,FIU_Prior_Relationship,Prior_Award_Amount,Prior_Award_Description,Recommended_Route,Score_Funder_Alignment,Score_Capability_Match,Score_Success_Probability,Score_Strategic_Value,Score_Resource_Efficiency,Weighted_Score,Priority_Tier,Strategic_Notes,Key_Requirements,Funding_Priorities,Status,Assigned_To,Internal_Notes,Detail_Folder
MILBANK-006,Milbank Foundation Grants,Milbank Foundation,private_foundation,General Grants,50000,200000,100000,rolling,,,No,,12,Yes,National,"Seniors, veterans, disabilities, youth",501(c)(3),https://www.grantinterface.com/Home/Logon?urlkey=jmandmilbankfoundations,https://www.grantinterface.com/Home/Logon?urlkey=jmandmilbankfoundations,online_portal,GrantInterface,"Proposal, budget, organizational docs",,,,no_relationship,,,route_4_nhelp_vehicle,4.5,4.5,3.5,4.0,4.0,4.15,high_priority,HIGH PRIORITY - Multiple priorities match NHELP: seniors/aging in place/mental health.,"501(c)(3), community-based","Disabilities, veterans, seniors aging in place, mental health, suicide prevention",ready_for_review,,"Strong fit for NHELP populations. Community-based health services priority.",006-milbank
OMH-022,HHS Office of Minority Health Demonstration Projects,HHS OMH,federal,Community Innovations,475000,600000,500000,annual_cycle,,,No,,48,No,National,Minority health populations,"501(c)(3), universities, health centers",https://www.grants.gov,https://minorityhealth.hhs.gov/grants-and-programs,grants_gov,Grants.gov,"Full proposal, work plan, budget",,minorityhealthinfo@hhs.gov,1-833-762-4900,no_relationship,,,route_4_nhelp_vehicle,4.5,4.5,3.0,4.5,3.0,4.00,high_priority,HIGH FIT - COPHI maternal health program. 4-year awards.,"SDOH barriers, minority health focus","SDOH barriers, maternal health (COPHI), preventive services",ready_for_review,,"COPHI program specifically targets perinatal health. $475K-$600K/yr for up to 4 years.",012-omh
KRESGE-CCHE,Kresge Foundation CCHE Initiative,Kresge Foundation,private_foundation,Climate Change Health & Equity,200000,500000,300000,by_invitation,,,Yes,,36,Yes,"Priority cities: Detroit, Fresno, Memphis, New Orleans",Climate-vulnerable communities,INVITATION-ONLY CONFIRMED - unsolicited proposals NOT accepted,https://kresge.org/grants-social-investments/current-funding-opportunities/,https://kresge.org/initiative/climate-change-health-and-equity-cche/,custom,Fluxx,"Invited proposal",Monica Valdes Lupi,,248-643-9630,prior_funded,200000,Catalyst Miami,route_4_nhelp_vehicle,4.0,4.0,3.0,4.5,3.0,3.75,pursue,PRIOR RELATIONSHIP - Leverage Catalyst Miami partnership. Miami is climate-vulnerable. INVITATION-ONLY.,"INVITATION-ONLY - Do NOT submit unsolicited proposals. Build relationship through prior Catalyst Miami connection.","Climate health, racial equity, community-driven solutions",ready_for_review,,"INVITATION-ONLY CONFIRMED (Feb 2026). Health Program does NOT accept unsolicited proposals. Build relationship first.",007-kresge
CENTENE-001,Centene Foundation 2025 Grant Cycle #1,Centene Foundation,corporate_foundation,Charitable Grants,10000,500000,100000,fixed,2025-05-31,,No,24,12,Yes,"National (local Centene presence)",Underserved communities,501(c)(3),https://www.centene.com/who-we-are/centene-foundation/become-a-partner.html,https://www.centene.com/who-we-are/centene-foundation/become-a-partner.html,online_portal,,"Proposal, budget, 501(c)(3) letter",,Foundation@centene.com,,prior_contact,,,route_4_nhelp_vehicle,4.0,4.0,3.5,4.0,4.0,3.90,pursue,DEADLINE PASSED - Foundation now INVITATION-ONLY. Build relationship for future.,"501(c)(3), sustainable partnerships","Healthcare access, social services, education",program_closed,cacarden@fiu.edu,"DEADLINE PASSED (May 31 2025). Program now invitation-only. No public applications accepted.",014-centene
SAMHSA-CCBHC-019,SAMHSA CCBHC Expansion Grants,SAMHSA,federal,CCBHC Expansion,750000,1000000,1000000,annual_cycle,,,No,,48,No,National,Behavioral health populations,"Behavioral health providers, health centers",https://www.grants.gov,https://www.samhsa.gov/communities/certified-community-behavioral-health-clinics/expansion-grants,grants_gov,Grants.gov,"Full proposal, budget, work plan",Mary Blake,ccbhc@samhsa.hhs.gov,(240) 276-1747,no_relationship,,,route_4_nhelp_vehicle,4.5,4.0,3.0,4.5,3.0,3.90,pursue,Strong fit for behavioral health integration with NHELP/Thrive.,"CCBHC criteria, behavioral health focus","Comprehensive behavioral health, 24/7 crisis, care coordination, primary care integration",ready_for_review,,"4-year grants ~$1M/yr. Monitor Grants Dashboard for new NOFOs.",009-samhsa-ccbhc
AFM-TAU-014,Allegany Franciscan Ministries Tau Grants,Allegany Franciscan Ministries,private_foundation,Tau Grants,10000,20000,15000,annual_cycle,,,No,,12,Yes,"Miami-Dade, Florida regions","BIPOC, LGBTQ+, disabilities",501(c)(3) small nonprofit,,https://afmfl.org,online_portal,,"Proposal, organizational docs",,,,no_relationship,,,route_4_nhelp_vehicle,4.0,4.0,3.5,3.5,4.5,3.90,pursue,Unrestricted operating support. Good for CHW infrastructure or mobile unit costs.,"Small nonprofit, Miami-Dade service","Unrestricted support, healthcare access, basic needs, BIPOC/LGBTQ+ communities",ready_for_review,,"Awards typically ~$20K over 1-2 years. Check for FY26 cycle dates.",023-allegany-franciscan
GILEAD-004,Gilead Building Community SDOH Grants,Gilead Sciences,corporate_foundation,Building Community,25000,100000,50000,rolling,,,No,6,12,No,Local communities,Patients/underserved,501(c)(3),https://online.foundationsource.com/myfs/eligibility-quiz,https://online.foundationsource.com/myfs/eligibility-quiz,online_portal,FoundationSource,"Proposal, budget",,,,no_relationship,,,route_4_nhelp_vehicle,4.0,4.5,3.5,3.5,4.0,3.95,pursue,SDOH focus aligns with NHELP. Testing/screening mentioned.,501(c)(3),"SDOH, patient education, testing/screening",ready_for_review,,"6-week response. Frame around SDOH and patient support.",016-gilead
LABCORP-008,LabCorp Charitable Foundation,LabCorp,corporate_foundation,Charitable Foundation,25000,100000,50000,rolling,,,No,,12,No,National,"Underserved, communities of color",501(c)(3),https://apply.yourcausegrants.com/apply/application/1752210/forms/7287,https://www.labcorp.com/about/our-impact/charitable-foundation,online_portal,YourCause,"Proposal, budget, 501(c)(3)",,,,no_relationship,,,route_4_nhelp_vehicle,4.0,4.0,3.5,3.5,4.0,3.80,pursue,Health equity focus. Screening and wellness mentioned.,"501(c)(3), health equity focus","Healthcare services, STEM, health screenings, food security",ready_for_review,,"Focus on communities of color and low-income populations.",020-labcorp
PCORI-CER-2026,PCORI Comparative Effectiveness Research 2026,PCORI,nonprofit,CER,500000,2000000,1500000,annual_cycle,2026-09-01,2026-04-28,Yes,,60,No,National,Patient populations,"Research institutions, universities, health systems",https://www.pcori.org/funding-opportunities,https://www.pcori.org/funding-opportunities,online_portal,PCORI Portal,"LOI, full proposal, engagement plan",,,,no_relationship,,,route_2_ai_enhanced,5.0,4.5,3.0,5.0,3.0,4.15,high_priority,EXCELLENT FIT - Thrive enables patient-centered research. Compare Thrive vs standard care.,Patient engagement required,"Patient-centered outcomes, comparative effectiveness",ready_for_review,,"Cycle 1 MISSED. TARGET CYCLE 2: LOI Apr 28 2026 / Full Sept 1 2026.",013-pcori
NSF-SCH-001,NSF/NIH Smart Health and Biomedical Research (SCH),NSF/NIH,federal,Smart Health,300000,1200000,1000000,fixed,2025-10-03,,No,,48,No,National,Health disparities populations,"Universities, research institutions",https://www.nsf.gov/funding/opportunities/sch-smart-health-biomedical-research-era-artificial-intelligence/nsf25-542/solicitation,https://www.nsf.gov/funding/opportunities/sch-smart-health-biomedical-research-era-artificial-intelligence/nsf25-542/solicitation,grants_gov,Research.gov/Grants.gov,"Full proposal, budget, biosketch",,,,no_relationship,,,route_3_ai_healthcare,5.0,5.0,3.0,5.0,3.0,4.30,high_priority,EXCELLENT AI FIT - Novel AI/ML methods for SDOH screening and intervention matching.,"AI/ML innovation, interdisciplinary team","AI/ML, data science, health disparities, transformative research",deadline_passed,,"DEADLINE PASSED (Oct 3 2025). Monitor for FY2026 solicitation.",NIH-NSF-sch
AJA-002,AJA Foundation General Grants,AJA Foundation,private_foundation,General Grants,10000,500000,100000,rolling,,,Yes,6,12,No,National,Structural barriers populations,501(c)(3),https://www.ajafoundation.org/how-to-apply/,https://www.ajafoundation.org/how-to-apply/,online_portal,,"LOI, invited proposal",,,,no_relationship,,,route_1_thrive_focused,3.5,4.0,3.0,3.5,4.0,3.55,pursue,Focuses on structural barriers to fundamental resources - Thrive SDOH fit.,"LOI required, 1 request per org per year","Fundamental resources access, structural barriers",ready_for_review,,"6-week response. Max 1 request per year.",015-aja-foundation
DELL-010,Dell Foundation Partnership Grants,Michael and Susan Dell Foundation,private_foundation,Partnership Grants,100000,8000000,1500000,rolling,,,No,,36,Yes,"United States, Texas",Families/children,Universities/nonprofits,https://www.dell.org/grants/?tab=partnerships-content,https://www.dell.org/grants/?tab=partnerships-content,online_portal,,"Proposal, organizational docs",,,,no_relationship,,,route_2_ai_enhanced,3.5,4.0,2.5,4.5,3.0,3.45,pursue,Large grants available. Health Innovation focus. AI interest (Magpie Literacy example).,"Evidence-based, scalable","Health Innovation, education, economic stability",ready_for_review,,"568 active grants. $48K-$8M range. Competitive.",018-dell-foundation
SMITH-007,Jay L. Smith Family Foundation Grants,Jay L. Smith Family Foundation,private_foundation,General Grants,5000,30000,15000,rolling,,,No,,12,No,National,"Elderly, patients",501(c)(3),https://www.jaylsmithfamilyfoundation.org/,https://www.jaylsmithfamilyfoundation.org/,online_portal,,"Proposal, budget",,,,no_relationship,,,route_4_nhelp_vehicle,3.5,3.5,3.0,3.0,4.5,3.40,pursue,Smaller grants. Elderly care and suicide prevention align with NHELP.,501(c)(3),"Alzheimer's, cancer, elderly care, suicide prevention, domestic violence",ready_for_review,,"One-time grants $5K-$30K. Good for pilot projects.",022-jay-smith
TONY-ROBBINS-005,Tony Robbins Foundation Grants,Tony Robbins Foundation,private_foundation,General Grants,25000,100000,50000,rolling,,,Yes,,12,No,Global,Underserved communities,501(c)(3),https://www.thetonyrobbinsfoundation.org/support/grants/,https://www.thetonyrobbinsfoundation.org/support/grants/,online_portal,,"LOI (3 pages max), invited proposal",,,,no_relationship,,,route_4_nhelp_vehicle,3.0,3.5,2.5,3.0,3.5,3.05,pursue,Community solutions focus. Two-stage LOI process.,"LOI max 3 pages, 501(c)(3)","Community solutions, global challenges",ready_for_review,,"LOI first, then invited full proposal.",021-tony-robbins
GREENLIGHT-015,GreenLight Fund Miami,GreenLight Fund,private_foundation,Miami Site,500000,2000000,1000000,by_invitation,,,No,,,Yes,Miami,Economic mobility populations,"Evidence-based nonprofits, by selection only",https://greenlightfund.org/sites/miami/,https://greenlightfund.org/sites/miami/,custom,,,"Valeria Perez-Ferreiro",,,no_relationship,,,multiple,3.0,3.0,2.0,4.0,2.0,2.85,opportunistic,NOT traditional grant. Engage as community partner for potential collaboration.,"By selection only, proven model","Economic mobility, education, health (selected orgs)",ready_for_review,,"Invitation-only selection. Engage Miami team as partner.",024-greenlight-miami
GATES-017,Gates Foundation Grant Opportunities,Bill & Melinda Gates Foundation,private_foundation,U.S. Program,500000,5000000,2000000,by_invitation,,,No,,,Yes,National,Various,By invitation/staff identification,https://submit.gatesfoundation.org/,https://www.gatesfoundation.org/about/how-we-work/grant-opportunities,custom,Gates Portal,,"",,,no_relationship,,,route_2_ai_enhanced,2.5,3.0,1.5,4.0,2.0,2.55,opportunistic,Mostly invite-only. Monitor Grand Challenges for relevant RFPs.,"Staff identification, evidence-based, scalable","U.S. education, economic mobility, Grand Challenges",ready_for_review,,"Not typical funder for direct clinical services.",017-gates-foundation
NIMHD-R01-021,NIH/NIMHD Community Level Interventions R01,NIH/NIMHD,federal,PAR-24-231,300000,500000,400000,annual_cycle,,,No,,60,No,National,Minority health populations,Research institutions,https://grants.nih.gov/grants/guide/pa-files/PAR-24-231.html,https://grants.nih.gov/grants/guide/pa-files/PAR-24-231.html,grants_gov,eRA Commons,"R01 application, biosketch, budget",,,,no_relationship,,,route_3_ai_healthcare,4.0,3.5,2.5,4.5,2.5,3.45,pursue,Research grant. Useful for implementation-science arm of NHELP model.,Research capability,"Community-level interventions, minority health, health disparities",ready_for_review,,"Standard NIH R01 deadlines. Partner with research faculty.",011-nih-nimhd
